tweet id, tweet, label
'382813388503412736',"USGS reports a M1.7 #earthquake 70km ESE of Healy, Alaska on 9/28/13 @ 2:45:15 UTC http://t.co/MQkCfKZisl #quake",Off-topic
'382813391435206659',"QuakeFactor M 3.0, Southern Alaska: Sunday, September 29, 2013 21:15:20 UTCSunday, Septemb... http://t.co/edtau43Co2 #earthquake, #quake",Off-topic
'382813401845485568',What you wanna say abt #TTP #PeaceTalks &amp,Off-topic
'382813437513834497',Top Story: Pakistan quake survivors face long wait for aid: Awaran (Pakistan)- Tens of thousan... http://t.co/Cd6SYLXs5f #pakistan #news,Off-topic
'382813440655376384',"RT @SaimaMohsin: 264 dead, more than 400 injured in 7.7 magnitude quake very close to surface - #Awaran #Balochistan worst affected",On-topic
'382813444011204608',"USGS reports a M1.2 #earthquake 6km SSE of San Juan Bautista, California on 9/27/13 @ 21:36:47 UTC http://t.co/ZBpGpA5kNE #quake",Off-topic
'382813445495586816',"RT @ErumManzoor: Island that emerged near Gwadar #earthquake is temporary, say experts. Hmmm.  How about setting up a TTP office there? viaâ€¦",on-topic
'382813466014121984',@AQpk 1300+ People have been killed due to terrorism in last 15 weeks. http://t.co/vwUGXigs6p  #OverthrowCorruptSystem #Pakistan,Off-topic
'382813467528282112',"Quetta quake toll 328, more deaths feared http://t.co/RQYwYjUnxh #Karachi #Pakistan",on-topic
'382813501489946624',"RT @RT_com: Update: Death toll in #Peshawar bomb blast rises to 38, about 100 injured - hospital officials http://t.co/N4phtjDGk8 #Pakistan",on-topic
'382813501729017856',"#Earthquake M 2.1, Northern California http://t.co/90COqYKVRf",on-topic
'382813514881982464',RT @CNBCPAKISTAN: Ch. Nisar: Rockets were fired at a rescue and relief helicopter when it tried to access #earthquake victims in #Balochistâ€¦,Off-topic
'382813518602313729',Azerbaijani Ministry of Emergency Situations offered to #Pakistan to hold rescue operations in the quake-hit regions http://t.co/rlrOxB65s6,Off-topic
'382813530396700672',RT @RT_com: PHOTO: #NASA releases image of #Pakistan's 'Earthquake Island' http://t.co/aBHdfEFZEl http://t.co/iwEFUiequ1,on-topic
'382813532305096705',"#earthquake: M 1.0, Northern California http://t.co/6RRJuGEgb7",Off-topic
'382813540366954497',"RT @VincentTongue: #Peru  #earthquake M6.8M, Depth:33km   25 Sep 2013 16:42UTC   About 14191 people within 100km http://t.co/cC0ICGysLX",on-topic
'382813540413095936',"RT @FoxNews: #Pakistan militants fire on quake relief helicopter, as death toll rises to 348: http://t.co/avePx9rEAU",Off-topic
'382813561875361792',RT @Fahdhusain: 11 kids recovered alive from under earthquake rubble in Awaran. Shukar Allah!! #earthquake,Off-topic
'382813565054226432',RT @allaboutmqm: News: #MQM Quaid Altaf Hussain Voices Concern Over Murderous Attempt On Prof Nabiâ€™s Life #Karachi #Pakistan http://t.co/28â€¦,Off-topic
'382813569597071360',RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:â€¦,Off-topic
'382813587410259968',"Awaran mn 312 dead,, Keich mn 44 dead..:( #Balochistan #earthquake",on-topic
'382813601024995328',RT @allaboutmqm: News: This is the time of the need we must help the affected people of #Balochistan: @MQMUSA #MQM #Pakistan http://t.co/HQâ€¦,on-topic
'382813620356534272',RT @Chiltan: she is waiting for your help #Awaran girl child #BalochistanEarthquake  http://t.co/jlzN8iMrOx,Off-topic
'382813652752928768',RT @DrAwab: 250+ people have been killed in #Balochistan didn't we have a Chief Minister there? Missing? Abducted? Or has he gone island hoâ€¦,on-topic
'382813700375474176',Just Shocking #News #Earthquake in #Pakistan #st... http://t.co/SiDBPiGwbT,Off-topic
'382813702132867072',"#NASA Releases Images of #Earthquake Island off Coast of #Pakistan,  Zalzala #Jazeera: http://t.co/hKoJPHA9Xc  #EarthChanges",on-topic
'382813719941484544',"#earthquake: M 1.9, Island of Hawaii, Hawaii http://t.co/MwWyOEaHvx",Off-topic
'382813733623300096',Khanchey bazi start on account of #earthquake victims  http://t.co/MgTkaQrq5l,on-topic
'382813742683398144',"1000+ died and countless injured,many homeless and living without any relief service after earthquake in #Balochistan http://t.co/E7sxwXwUJU",on-topic
'382813761330888704',Small island after earthquake in Pakistan http://t.co/ueRxtmpdZ4 #Pakistan #Gwadar #Balochistan #Earthquake #India via @Ma_knows_all00,on-topic
'382813775604105216',Death toll in #Balochistan #earthquake mounts to 328 with 285 killed in #Awaran alone ~@PTVNewsOfficial #Pakistan,on-topic
'382813776304541697',RT @Twittistaan: NASA has released images of the new island formed after an earthquake in #Pakistan http://t.co/X3zSNm0Ma8 via @Independent,on-topic
'382813788832940033',Balochistan #EarthQuake: Awaran's 95% houses are damaged - 1000+ deaths - Countless Injuries - No Medicines - No Relief. #Pakistan,Off-topic
'382813812040409089',RT @BalochTawar: Breaking News #EarthQuake of 5.5 Magnitude on ractel scale hit #Panjgur and #Awaran,Off-topic
'382813829719019521',RT @WriterRod: Peru: State of emergency for areas affected by earthquake  http://t.co/ve1xJXEHjT via @PeruthisWeek #Peru #earthquake #terreâ€¦,Off-topic
'382813848006180864',"RT @john_freiman: I was rocked by a M6.7 earthquake 81km NE of L'Esperance Rock, New Zealand!!! #earthquake #Quake_Watch_by_Ninja_Software",Off-topic
'382813873113284608',(News) The villages that were http://t.co/IPzABit3hZ #Earthquake #Pakistan,Off-topic
'382813873679896576',(News) #Balochistan earthquake: Life among the ruins in #Gajjar http://t.co/1MJszlZrAb #Pakistan,Off-topic
'382813914796290048',Alert  U.S. Virgin Islands #Earthquake #Quake,Off-topic
'382813924208308224',"New #Earthquake Magnitude 2.2, Monday, September 30 2013 at 4:20:01 am (NZDT), 10 km east of Seddon: Public ID... http://t.co/d2TiBPftzL",Off-topic
'382813932437917696',Watching Pakistan #earthquake News! Shocked 2 c..ppl.they still waiting f any helps 2 save Life! WaheGuru!,Off-topic
'382813945913831424',RT @FoxNews: New massive earthquake rocks southwest #Pakistan http://t.co/QhOvQcq0jz,on-topic
'382813996354510848',"#earthquake: M 2.3, Southern California http://t.co/P7YGfPBbQE",on-topic
'382814017099558912',#earthquake M1.3: Southern California http://t.co/2vDndErHj1,on-topic
'382814060326043648',"RT @janbaloch45: Don't Forget your #Awaran #Mashkay Brothers &amp; Sisters, You can donate blood for quake victims: Call: 03203202986  #Balochiâ€¦",on-topic
'382814060385161216',RT @LBCI_News_EN: New major #earthquake rocks southwest #Pakistan | http://t.co/KR63qvgSRM |,on-topic
'382814062196703232',RT @MrTippler: If Peace has killed people and destroyed lives for decades...how is it better than a War which might provide a resolution? #â€¦,Off-topic
'382814062704226304',UK PM left everything when just one soldier died. Here a 1000 are feared dead and our PM is no where to be seen! #Balochistan #earthquake,Off-topic
'382814074104328192',"5.0 #earthquake! Mon Sep 30 07:25:25 CDT 2013 near 142km NNW of #Kandrian, #PapuaNewGuinea http://t.co/yd9FKPWgGa",Off-topic
'382814074439868419',#currently #reading #word #wisdom #earthquake #faith #praying ðŸ™ðŸ™ http://t.co/deHuDeYqrj,Off-topic
'382814086519869441',RT @diplo: Twerkbook pro #plurnt #earthquake http://t.co/5x5ya6wxF6,on-topic
'382814114860367872',"Earthquakes in #Pakistan timeline http://t.co/Y20lGxf9Pi Worst earthquake in 2005. 80,000 dead, 200,000 injured, 4 million ppl left homeless",on-topic
'382814115276025856',How can anyone dislike #SMAP? Those guys are awesome. #311 #earthquake,on-topic
'382814116127465472',RT @ITs_AzaD: Please Help Awaran and Kech EarthQuake Victims. #Balochistan https://t.co/qzpCyT38va @hrw @UN_HRC @HRC @Refugees,Off-topic
'382814118056431616',RT @JuD_Cyberteam: #JUDReleif International Media Coverage in @BBCUrdu  #Earthquake http://t.co/wiV9lPdTZt,Off-topic
'382814125673693184',#Balochistan PDMA is doing what it can with the next to nothing resources it has.. help them out people.. Ask them what they need exactly,Off-topic
'382814125899784192',"2.4 magnitude #earthquake. 18km N of Middleton Island, Alaska.http://t.co/pZJnCOqquV",Off-topic
'382814128102182912',RT @AstroEnrico: 7.7 magnitude #quake in #Pakistan just created a new island https://t.co/GYyUNZCWl0,on-topic
'382814132225191936',"RT @AsCorrespondent: Pakistanis struggle for food, shelter after quake  http://t.co/5PBQAdPaqQ #Pakistan",Off-topic
'382814134032531456',"RT @AnasMallick: More than 5 dozen #Earthquake victims, mostly women and children, shifted to #Karachi from #Awaran.",Off-topic
'382814136285274112',RT @EarthAlerts: #earthquake: M 3.1 - South-America Chile [Atacama] Vallenar: Preliminary Earthquake Report:  Date/Time: 27.0... http://t.câ€¦,on-topic
'382814138235236352',"RT @seismicupdate: #USGS M 3.0, 62km NNE of Road Town, British Virgin Islands http://t.co/kkWk0fvYR5 #earthquake",Off-topic
'382814139623931904',"RT @everyEarthquake: USGS reports a M2.8 #earthquake 5km ENE of Badger, Alaska on 9/28/13 @ 22:26:21 UTC http://t.co/EBf5HJIMrz #quake",on-topic
'382814141620043776',"2.5 magnitude #earthquake. 9 mi from Hollister, CA, United States.http://t.co/fVg6dLjmYb",on-topic
'382814144824479746',"#earthquake M 6.7, Kermadec Islands, New Zealand http://t.co/ueylGfr3NX",on-topic
'382814146620059648',"#Pakistan PM Nawaz Sharif said â€œIslam is a religion of peace, compassion and brotherhood.â€",Off-topic
'382814146691346432',#ThanksMQM for helping people of #Pakistan in their bad &amp,Off-topic
'382814148851023872',"RT @AsimBajwaISPR: #Earthquake: Appreciate the spirit of this young donor- F-9 Park Collection Point, Isd. http://t.co/x7G3SAfjNZ",Off-topic
'382814149165973504',#earthquake M7.0 NEAR THE COAST OF SOUTHERN PERU 45.8km 2013/09/26 01:42:43 JST[UTC+9 (G)http://t.co/Si755wz4lQ (USGS)http://t.co/6m5EfUHRAu,Off-topic
'382814152969838592',@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,on-topic
'382814154165612544',News: #KKF Have Dispatched Three Trucks Loaded with Relief Goods for #Baluchistan #Earthquake Victims #ReliefByKKF http://t.co/2j3BPtc9FT,on-topic
'382814156857950208',#Web:  Powerful 6.1-magnitude #earthquake strikes #Mexico http://t.co/hHDyLmTqMa,Off-topic
'382814157248409600',#WhereIsNationalCounterTerrorismPolicy Nawaz shud know there is country call Pakistan. He is incharge of it #earthquake #terrorism #flood,Off-topic
'382814158682877952',"1.6 magnitude #earthquake. 5 km from Yucca Valley, CA, United States.http://t.co/zzzmE4uZ67",Off-topic
'382814164319993856',"#earthquake: M 1.0, Northern California http://t.co/uWqg8RYyIV",on-topic
